Mã,Điểm Rũ,Giá hiện tại,Lý do
VHM,100,106000,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng), Quá bán (RSI < 30), Nến rút chân (Lực cầu ẩn)"
ACB,90,24100,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng), Quá bán (RSI < 30)"
SHB,90,16000,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng), Quá bán (RSI < 30)"
VND,90,18500,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng), Quá bán (RSI < 30)"
TCH,80,15700,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng), Nến rút chân (Lực cầu ẩn)"
SBT,80,23900,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng), Nến rút chân (Lực cầu ẩn)"
HAH,80,56500,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng), Nến rút chân (Lực cầu ẩn)"
KDC,80,50000,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng), Nến rút chân (Lực cầu ẩn)"
HHV,80,12200,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng), Nến rút chân (Lực cầu ẩn)"
SAM,80,7260,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng), Nến rút chân (Lực cầu ẩn)"
VIC,80,140500,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng), Nến rút chân (Lực cầu ẩn)"
VPB,70,28000,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
GIL,70,13600,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
GEX,70,36700,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
FCN,70,13850,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
EIB,70,20850,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
DXG,70,15400,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
CSV,70,28700,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
CII,70,18450,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
VIB,70,17800,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
NLG,70,29450,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
HAG,70,17250,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
HSG,70,16100,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
HVN,70,26950,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
KBC,70,34900,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
LCG,70,10200,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
VSC,70,20600,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
VRE,70,30200,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
PDR,70,17700,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
PET,70,32000,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
NKG,70,15200,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
MSB,70,12400,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
LPB,70,41650,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
SSI,70,31150,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
VIX,70,22600,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
VJC,70,170500,"Giá gãy hỗ trợ (Rũ hàng), Kiệt Vol (Tổ chức giữ hàng)"
GMD,50,68500,"Kiệt Vol (Tổ chức giữ hàng), Nến rút chân (Lực cầu ẩn)"
GAS,50,117000,"Kiệt Vol (Tổ chức giữ hàng), Nến rút chân (Lực cầu ẩn)"
PAN,50,29800,"Kiệt Vol (Tổ chức giữ hàng), Nến rút chân (Lực cầu ẩn)"
HT1,50,14850,"Giá gãy hỗ trợ (Rũ hàng), Quá bán (RSI < 30)"
VHC,50,64700,"Kiệt Vol (Tổ chức giữ hàng), Nến rút chân (Lực cầu ẩn)"
VOS,50,13050,"Kiệt Vol (Tổ chức giữ hàng), Nến rút chân (Lực cầu ẩn)"
